title,description
Registration for the removal of Construction and Demolition Debris (C&D Registration),"You need a Class 2 Registration to remove only waste from building demolition, construction, alteration or excavation. This registration is also called an Exemption from Licensing Requirements. The registration expires every two years from the date of approval."
Retailer of Non-Highway Diesel Motor Fuel,"If you sell diesel fuel for off-road use in New York State, you must register with the New York State Department of Taxation and Finance (DTF)."
"Salvage Pool, Official Business Registration","If you sell junk cars or big car parts, you must register. You need to sign up with the New York State DMV."
School Age Child Care Registration,"School-age Child Care programs offer childcare in a non-residential location. These programs care for seven or more children under 13 years old. They run during the school year such as before and after school, during lunch periods and on school holidays. They also may run when schools are not in session, like in the summer. Children in kindergarten or higher grades can join."
School-Based Child Care Certificate (Notice of Filing),A School-Based Child Care (SBCC) program provides care for more than six children who are 3-5 years old. These programs are in a City school or are otherwise affiliated with a school.
Security Guard Registration,"To be a security guard in New York State, you must register with the New York State Department of State (NYSDOS). This is for both armed and unarmed security guards."
Self Hauler Registration,You need a Class 1 Self Hauler Registration if you or your business removes its own waste. This does not include construction and demolition debris.
Smoke Free Air Act Exemption - Register a Tobacco Event,You need to register a tobacco promotion event with the New York City Department of Health and Mental Hygiene (DOHMH). A tobacco promotion event is where people can sample and promote tobacco products. Food and drinks may also be served.
Smoke Free Air Act Exemption Registration - Membership Organizations,Membership organizations that want to be exempt from the 2002 Smoke Free Air Act must apply to register with the New York City Department of Health and Mental Hygiene (DOHMH).
Snowmobile Dealer Registration,This registration lets you sell snowmobiles. You can sell them at wholesale or retail. A snowmobile is a vehicle with tracks for travels over snow in winter conditions.
Surety Bond Registration,Surety bonds help make sure projects get done. The Bureau of the Fiscal Service (BFS) handles surety bonds across the country. The BFS is part of the Department of the Treasury. Companies must apply to the BFS if they want to:
Telemarketer Registration,"If you run a telemarketing business in New York, you must register with the New York State Department of State (NYSDOS). Your employees do not need to register."
"Ticket Distributor Registration, Original",Ticket distributors at entertainment places must sign up with the New York State Attorney General's Office. This rule is only for for-profit businesses.
Tobacco Retail Store Registration,"All stores that sell tobacco must register with the Department of Health and Mental Hygiene (DOHMH). This is a rule from the Smoke Free Air Act. After you register, you can allow smoking on your premises. You only need to register once and there is no fee."
Trade Waste Broker Registration,You need a Class 2 Trade Waste Broker Registration if you help people in New York City find waste services for a fee. This includes businesses that evaluate or analyze waste and suggest cost-efficient ways to get rid of it. The registration lasts for two years.
"Vehicle Dismantler, Official Business Registration","If you take apart vehicles, you must register with the New York State Department of Motor Vehicles (DMV)."
Water Well Contractor Registration,"In New York State, businesses must register every year to drill water wells. They do this with the New York State Department of Environmental Conservation (DEC)."
Wholesale Business Registration,You need a Wholesale Business Registration to sell in a New York City public wholesale market. This is for businesses that sell food or related agricultural/horticultural products at wholesale prices. These products are for other businesses to resell. The registration lasts for three years.
"X-Ray Machines and Particle Accelerators for Non-Human Use, Registration of",Businesses that use machines with radiation need a safety expert. They must also register their equipment with New York City and State.
Adult Care Facility - Assisted Living Program,Assisted living programs in New York State must have a Certificate of Need to operate. This certificate comes from the New York State Department of Health (NYSDOH).
Adult Care Facility - Enriched Housing Program,Enriched housing programs need a special certificate to operate in New York State. This certificate comes from the New York State Department of Health (NYSDOH).
Application for Approval of Backflow Prevention Devices,"If you own a property, you need a backflow prevention device on every water service pipe that connects the drinking water supply and a possible source of contamination. This device stops dirty water from mixing with clean water. A licensed plumber or engineer can help you decide whether you need this device."
Bikes in Buildings Program,"The Bikes in Buildings program helps people who work in office buildings. If your building was built before November 18, 2009, and has at least one freight elevator, your employer can ask the building owner to let employees bring their bicycles inside."
Buildings Information System,The Buildings Information System (BISWeb) is the main database for the Department of Buildings (DOB). It gives real-time data to anyone with internet access.
Garbage and Recycling Collection for Professionals - Professional Fee Program,"The New York City (NYC) Department of Sanitation has a program. It helps licensed professionals like doctors, accountants and lawyers. This program is for garbage and recycling collection for those working in a residential building."
Grease Interceptor Information,"If you run a business that produces and disposes of fat, oil or grease (FOGs), like a restaurant, food processing establishment, hospital or day care and senior center, you need a grease interceptor. This system stops FOGs from clogging the city's sewer lines. It separates FOGs from wastewater."
Health Insurance,Health insurance helps you pay for health care. You can get health insurance from:
Immigration Assistance Services Requirements,People or businesses that help with immigration law for money must follow New York State Law.
Information About Construction Projects that Last More Than Three Months,The Office of Construction Mitigation and Coordination (OCMC) requires any large construction projects that last more than three months to put up informational signs at the site.
Information About Fire Alarms,"If you have a Certificate of Fitness (C of F) for Supervision of Fire Alarm Systems, you need to be at any building where a fire alarm system is installed."
Information About Impacting Trees,"If you want to remove, perform work on or perform any work within 50 feet of a street tree, you need a permit. Some examples of work are:"
Information About Landmarks,"A landmark is a special building, property or object with historical or artistic value. The Landmarks Preservation Commission (LPC) designates these landmarks."
"Information About Occupying, Repairing, Or Replacing Sidewalks, Roadways, or Curbs","In New York City, property owners must take care of the sidewalk next to their property, including the intersection corner quadrant, at their own cost."
Information About Pest Control,The City Health Department wants all businesses in New York City to prevent pest infestations. Pests can spread to other places and negatively impact the quality of life in a neighborhood. Building owners and tenants must prevent or address pest infestations on a property. Help is available for business owners to stop and get rid of pests.
Information About Sprinklers,All buildings with sprinklers must follow New York City Fire Department (FDNY) regulations. This includes buildings that will have a sprinkler system installed.
"Information About Sprinklers, Fire Alarms, and Standpipes","Buildings need fire alarms, fire suppression systems or standpipes. The type depends on the building's use or the construction code."
Information About Standpipes,Standpipes give firefighters water access inside a building.
Information About Water and Sewer Requirements,Businesses in New York City must pay for water and sewer services. These services come from the Department of Environmental Protection (DEP). This includes:
"Information for Use, Storage and Transfer of Explosives","The New York City Fire Department (FDNY) makes sure explosives are properly handled, stored, used and transported to keep everyone safe."
"Language Translation, Interpretation, and Apostille Information","Certified documents must meet state and federal rules to be valid. This rule applies to translations, notarizations, authentications and apostilles. This page explains how to get these documents for business use in New York State."
"NYC Parks Request for Bid (RFB): Pushcart, Mobile Food Unit or Food Cart",This guide helps you get a permit to run a mobile food unit in NYC parks. This includes:
NYC Parks Request for Proposal (RFP),"Requests for proposals (RFPs) are issued for a variety of NYC Parks concessions. These include snack bars, restaurants, golf courses, ice rinks, tennis facilities, stables and marinas."
Oil and Water Separators,Oil and water separators are important for places like:
Revocable Consent Petition,"If you intend to install a structure on, under, or over a City street or sidewalk, you must petition for a revocable consent."
Sand Interceptors,"Sand interceptors are needed at car and vehicle washes. They stop sand, grit, rocks and dirt from going into the sewer system. Car and vehicle washes make a lot of this waste. Without sand interceptors, the sewer system would receive unacceptable amounts of pollutants."
Street Cleaning Information for Film Productions,The New York City Department of Sanitation (DSNY) cleans streets for film productions. You can ask for cleaning before and after filming. There is a fee for this service.
Surety Bonds for Contractors,"A surety bond makes sure a contract gets completed if a contractor defaults. If a contractor can't finish a project, the surety company will find another contractor. If they can't, the client gets compensation for the loss."
Accepting Electronic Signatures,"In New York State, electronic signatures are equal to paper signatures. This is because of the Electronics Signatures and Records Act (ESRA). All businesses must follow this law."
Adult Care Facility - Adult Home,Adult homes and care facilities need a Certificate of Need to operate in New York State. This certificate must be filed with the New York State Department of Health (NYSDOH).
Adult Care Facility - Residence for Adults,"In New York State, homes that care for adults need a special certificate. This certificate is from the New York State Department of Health (NYSDOH)."
Air Code,"The goal of the New York City Air Pollution Control Code (Air Code) is to keep the air clean and safe. The City wants everyone to have air that is not harmful to life, health or enjoyment of their property."
ARCS Commissioning Test Report,The 2014 New York City Building Code states that new high-rise buildings need an Auxiliary Radio Communication (ARC) system. This system is only used by the New York City Fire Department (FDNY) to help them talk inside a building using radios.
Asbestos Rules and Regulations,"If you need to remove or handle asbestos, you must follow the federal, state and city rules. You must tell the New York City Department of Environmental Protection (DEP) at least seven days before you start."
ATM Owner / Operator Requirements,"If you own or run automated teller machines (ATMs), you must follow certain laws enforced by the New York State Department of Financial Services (DFS)."
Automotive Battery Collection and Recycling,"If you sell new lead-acid car batteries, you must accept old ones for recycling. This rule applies to stores and distributors."
Auxiliary Radio Communication System Application,An auxiliary radio communication system (ARCS) is a wireless two-way building communication system. It is for New York City Fire Department (FDNY) use only. It helps firefighters talk inside a building.
Best Management Practices Plans (BMPPs) for Persons Discharging Total Silver Halide Process Wastewater to the Public Sewer System,"If you or your business sends total silver halide process wastewater to the public sewer system, you must follow the rules. These rules are in Title 15 of the Rules of the City of New York (RCNY) Section 19-07. This wastewater comes from any silver halide imaging process."
Best Management Practices to Reduce Stormwater Pollution,"Best Management Practices (BMPs) to reduce stormwater pollution help keep NYC water clean. They are part of a plan to stop dirty rainwater from getting into the city sewers from places that work on cars, including:"
Body Piercing and Tattooing Guidelines,The New York State Department of Health (NYSDOH) makes rules for tattooing and body piercing.
Brand Label Registration,"If you make and sell alcoholic drinks in New York State, you need to register your brand labels with the State Liquor Authority (SLA). This rule makes sure all drinks are safe to drink and meet labeling requirements."
Bureau of Fire Prevention Documents/Forms,The New York City Fire Department (FDNY) checks and controls the installation of equipment.
Business Owner Bill of Rights,"As part of New York City's commitment to provide New Yorkers with excellent customer service, the Mayor's Office and the City Council created a Business Owner's Bill of Rights."
Calorie Posting,"New York City has rules for restaurants to post calorie information. If a restaurant has 15 or more locations with the same name or owner, they must show calorie information on their menus and menu boards. This rule applies if the food is made the same way and in the same size."
Cell Phone Collection and Recycling,"In New York State, any business that sells cell phones or cell phone plans must take old phones for recycling. They must accept all types of cell phones and must take up to 10 phones a year from each person."
Chemical or Oil Spill Reporting Requirement,"By law, you must report chemical or petroleum (gas or oil) spills to the New York State Department of Environmental Conservation (DEC)."
Clothing Rental/Sale Regulations,"If your business sells or rents clothes, you must follow hygiene and safety rules set by the New York State Department of State (NYSDOS)."
Commercial Bicyclist Regulations,"Do you run a business that uses bicycles? Do you hire people to ride bikes for work? If yes, you must follow the rules in Sections 10-157 and 10-157.1 of the New York City Administrative Code and in Section 4-08(p) of the Rules of the City of New York."
Commercial Vehicle Parking Information,"You need to pay to park a commercial vehicle in the City. Look for metered ""No Standing Commercial Vehicles Only"" zones. These rules are in effect Monday through Friday from 7 a.m. to 6 p.m. unless a sign says otherwise."
Commercial Vehicle Restrictions,This guide will help you learn the rules for commercial vehicles and trucks in New York City. You can find more details in Chapter 4 of the Rules of the City of New York.
Comprehensive Fire Safety and Emergency Action Plan,City Fire Department
Concept Proposal Tech Document,City Fire Department
Construction Industry Fair Play Act,The Fair Play Act protects anyone who works for a construction business. This law makes sure businesses give workers their rights.
Construction Noise Mitigation Plan,Construction sites must post a Construction Noise Plan. This plan should be complete and correct. It must be visible at the site all the time.
Construction Noise Regulations,"The Construction Noise Regulation is part of the Noise Code in New York City. It is in Title 15 Rules of the City of New York (RCNY) Chapter 28. The Noise Code sets policies and standards for managing noise in the City. The Construction Noise Regulation includes extra strategies, methods, procedures and technology to reduce noise at construction sites. These steps help lessen the noise impact in areas where construction happens."
Consumer Protection Law,"The New York City Department of Consumer and Worker Protection (DCWP) can make rules to stop practices it sees as deceptive or unfair under the Consumer Protection Law (CPL). The New York City Consumer Protection Law stops all ""deceptive or unfair trade practices."" This covers selling, leasing, renting or loaning any consumer goods and services and collecting consumer debts."
"Corporation (Foreign), Application for Authority","If your business is from another state and wants to operate in New York, you might need a Certificate of Authority from the New York State Department of State (NYSDOS)."
Doctor and / or Dentist Office,Doctor and dentist offices must follow rules from the New York State Department of Health (NYSDOH). These rules include:
"Dry Cleaning, Regulations on Perchloroethylene (Perc)","In New York State, dry cleaners must follow rules about a chemical called perchloroethylene, or ""perc."" The New York State Department of Environmental Conservation (DEC) makes sure these rules are followed."
E-Laws Employment Law Assistance for Workers and Small Businesses,The U.S. Department of Labor provides support to employers and workers about federal labor laws through online tools.
Election by a Small Business Corporation,"A small business can avoid double taxation by becoming an ""S corporation."""
Electronic Equipment Recycling and Reuse Act,"If your business sells or makes electronic devices, it must recycle electronic waste. You must tell customers how to collect and recycle this waste. Businesses cannot sell devices from companies without a recycling system. You must send yearly reports to the New York State Department of Environmental Conservation (DEC) through the E-Waste Online Registration and Reporting System."
Employee Disability Coverage,"In New York State, employers must give disability benefits to workers. This is for injuries or illnesses that happen off the job."
Employer Identification Number (EIN),Businesses need an Employer Identification Number (EIN) issued by the Internal Revenue Service (IRS).
Engineering Application and Amendment,"Engineering applications and amendments are for installing new technology; changing existing technology; storing, manufacturing or selling flammable materials; and getting permits defined by FC 105.1"
Equal Employment Opportunity Commission,The Equal Employment Opportunity Commission (EEOC) enforces federal laws against discrimination.
Facility Inventory Form FIF - Community Right-to-Know Program,"If your facility holds a hazardous substance at an amount at or above the threshold set by City regulations during the year, you must fill out a Facility Inventory Form. You also need to pay the fees. Some facilities must also send a risk management plan to the Department of Environmental Protection by March 1 every year."
Fire Alarm Application,"A fire alarm keeps people safe by detecting smoke, fire or carbon monoxide. When it does, it warns people and calls the Fire Department."
Fire Alarm Variance,"The City Fire Department needs fire alarm systems and auxiliary radio communication systems (ARCS) in buildings. These systems must follow the NYC Building Code, NYC Electrical Code, and NFPA 72 standard."
Fire Code Modification (Variance),Use Form BFP-MOD to ask the Fire Department for a change (variance) to any Fire Code or Fire Department Rule. This follows NYC Fire Code Section FC 104.8 and 3RCNY §104-01.
Fire Protection Plan,A fire protection plan is a document you give to the Fire Department of New York (FDNY). It shows that your building has fire safety and evacuation systems. These systems must follow the rules in Article 109 of the NYC Construction Codes.
Fire Safety and Evacuation Plans,"Fire Safety and Evacuation Plans help people leave a building safely during a fire. These plans also help firefighters understand the building. They show the building's layout, exits, fire hazards and important contacts."
Gas Authorization for Restaurants,"If you need to change, move or remove any gas pipes for your restaurant's cooking equipment, a Licensed Master Plumber must do the work. For range-hood (Ansul) systems, a Licensed Master Fire Suppression Piping Contractor must install and test them with an FDNY inspector."
Gasoline Transport Vehicles Requirements,"If you own or operate a vehicle that delivers gasoline to any gasoline dispensing site in New York City, you need a stage 1 vapor collection system. This system moves gasoline vapors from a tank into a vapor-tight holding system or an equivalent system. This rule applies to vehicles moving gasoline to or from any gasoline loading terminal or bulk plant."
HACCP Certification,Hazard Analysis Critical Control Point (HACCP) is a food safety risk management system. It stops food safety problems before they happen.
High Rise Residential Building (Non-Sequential Floor Numbering) BIC,The New York City Fire Code says building owners must file a Building Information Card (BIC). This is in Section FC408.9.4 and Fire Department rule 3 RCNY 408-01. The BIC must show non-sequential floor numbers in buildings 150 feet or taller. This is for buildings in Occupancy Group R-2.
Idling Regulations,"In New York City, you should not let your car engine idle for more than three minutes when parked, standing or stopping."
Information About Construction and Renovation,"Licensed professionals like architects, engineers and contractors need a construction permit. Business owners should know about the different permits needed for their projects."
Information About Escalators and Elevators,All elevators and escalators in New York City must be properly maintained and installed. The Department of Buildings' Elevator Division helps ensure the safe and proper use of elevators and escalators. They follow the New York City Building Code and the American Society of Mechanical Engineers standards.
Information About Hiring a Private Carter,"If you own a business in New York City, you need to have your waste removed by a private carter licensed by the Business Integrity Commission (BIC). There are over 200 licensed carters in New York City."
Information About Trans Fats,This information explains facts about products with artificial trans fatty acids (trans fats). It also talks about the New York City Health Code amendment that phases out artificial trans fats from all NYC restaurants and other food service establishments and how such establishments can follow the new regulation.
Interstate Compact on the Placement of Children,"The Interstate Compact on the Placement of Children (ICPC) allows agencies to place children with foster parents or programs in other states. The New York State Office of Children and Family Services (OCFS) enforces the ICPC. If you are an agent or agency doing interstate adoptions or fostering, you must follow these rules."
Labeling Requirements for Hazardous Substances,"If you store or use hazardous substances, you need to label them. This is required by the NYC Community Right-to-Know Law, New York City Administrative Code, Title 24, Chapter 7."
"Limited Partnership (Foreign), Application for Authority",Limited partnerships (LPs) from outside New York State can file for an application of authority with the New York State Department of State (NYSDOS).
Mammography Quality Standards Act Requirements,All places that do mammograms in the U.S. must follow the Mammography Quality Standards Act (MQSA).
Medical Waste Treatment Guidelines,"Regulated Medical Waste (RMW) comes from healthcare facilities. It can include blood, body fluids or other infectious materials. The New York State Department of Environmental Conservation (DEC) makes regulations for this waste."
Minimum Wage,"Starting January 1, 2025, the minimum wage in New York City is $16.50 per hour. The New York State Department of Labor (NYSDOL) manages wage rules in New York State. Businesses should check NYSDOL resources to know wage rules."
Motor Oil Regulations,The New York State Department of Environmental Conservation (DEC) has a rule that car service and retail shops must take used motor oil and fluids from people for free recycling.
Motor Vehicle Rental Law,Businesses that rent motor vehicles must follow certain laws. The New York State Attorney General enforces these laws.
Motor Vehicle Retail Leasing Laws,Businesses that lease vehicles must follow New York State laws.
Noise Code,"The Noise Code helps manage noise from commercial, cultural and manufacturing activities in New York City. It keeps noise levels lower for people who live here. The Noise Code sets policies and standards and sets rules as described in Local Law 113."
NY State Grades and Standards for Eggs,Eggs sold in New York State must show their grade on the package and in ads. The Department of Agriculture and Markets checks the grade and quality standards of eggs for sale.
NYC Indoor and Outdoor Dining Checklist,The NYC Indoor and Outdoor Dining checklist helps restaurants and bars by telling them what they need to do to serve food inside or outside. These rules are related to the Open Restaurants Program.
OATH Rules of Practice for the Administrative Hearing Process for Summons Cases,OATH's Hearings Division Rules of Practice tell you how to respond to summonses for hearings at the Office of Administrative Trials and Hearings (OATH).
Packaging and Transportation Requirements for Regulated Medical Waste,The U.S. Department of Transportation (USDOT) makes the regulations for disposing of medical waste. Businesses must follow these rules.
Paid Family Leave,"As of January 1, 2018, paid family leave is mandatory in New York State. Almost all employees are eligible, and employers must provide it to their employees."
Payroll and Tip Reporting,"If you run a large food or beverage establishment, you need to use Form 8027. This form reports payroll and tips to the IRS. It covers money from food or drink sales and tips that workers report."
Performance Based Design Document,Performance-based design documents are needed for special fire safety checks. These checks use computer programs. The programs study how fire and smoke move in a building. They help predict if a building can handle a fire. They also show if people can leave safely. The program used is called computational fluid dynamics (CFD) or other similar methods.
Plastic Bag Collection and Recycling,The State Environmental Conservation Department has rules about plastic bags. Stores that give out plastic bags must take them back for recycling or reuse.
Portable Fire Extinguisher Requirements,Fire extinguishers help keep us safe from fires. The Fire Department of New York (FDNY) has regulations about:
Private Sector Partnering with NYS Department of Motor Vehicles,Private companies can work with the New York State DMV. They need a contract to do this. They use a computer system connected to the DMV.
Professional Certification of Fire Alarm Systems,The Professional Certification of Fire Alarm Systems is a way to certify fire alarm installations without needing an inspection by the Fire Alarm Inspection Unit of the Fire Department of the City of New York (FDNY).
Prohibited Wild Animals,New York City does not allow people to have animals that are naturally inclined and capable of inflicting harm on people.
Public Assembly Place - Plans Examination Letter,"If you are building or fixing a place where many people gather, you need to get your plans approved. The New York State Department of Labor (NYSDOL) approves these plans."
Rangehood Fire-Suppression Systems,Rangehood fire-suppression systems help keep commercial kitchens safe. They are very important during the early stages of a fire.
Rechargeable Battery Collection and Recycling,"In New York State, stores that sell rechargeable batteries must take them back for recycling. You can bring up to 10 batteries per day to these stores."
Recycling and Waste Removal,"All businesses in New York City are required to recycle and dispose of all types of waste through a licensed carting company, or a registered carting company."
Resuscitation Equipment for Restaurants,"In accordance with Local Law 12, taverns and restaurants that sell food for on-premises consumption must have resuscitation equipment."
Rooftop Access,"Firefighters need rooftop operations to fight fires. Firefighters use rooftop operations to search buildings, send information, rescue people and ventilate rooftops. Rooftops must have enough space and access for these operations."
Rules Concerning the Use of Emissions Control Technology on Sightseeing Buses,"Sightseeing buses that are licensed by the Department of Consumer and Worker Protection (DCWP) must follow special rules to help keep the air clean. If a bus has an engine older than three years (as of 2007), it must use the Best Available Retrofit Technology (BART). This technology helps reduce the emission of pollutants into the air. Buses with engines that meet the 2007 emission standards already meet BART."
Rules on the Use of ULSDF and BART for Buses that Take Children To and From School,All school buses in New York City that use diesel fuel must follow special rules. These buses must use Ultra Low Sulfur Diesel Fuel (ULSDF) and the Best Available Retrofit Technology (BART). These rules help reduce air pollution.
"Safe Deposit Company, Acquisition by a Group of People of a",This rule lets people buy 10% or more of a safe deposit company's voting stock. The goal is to help the public interest.
Self-Storage Owner / Operator Affirmation and Bill of Sale,"In New York State (NYS), self-storage owners and operators must give an Affirmation and Bill of Sale. This is to get paid for unpaid storage of a vehicle or boat. The NYS Department of Motor Vehicles (DMV) enforces this rule."
Selling Food at Stalls and Farmer's Markets in New York State,"To sell food at a farmer's market in New York State, you must follow rules from the New York State Department of Agriculture and Markets. These rules are different from those for stores."
Sexual Harassment Training for All Employees,"Since October 9, 2018, all workers must get training on sexual harassment prevention. This includes part-time workers. Training must happen every year."
Shared Kitchens,Shared Kitchens are commercial food preparation facilities where new food retailers can use kitchen space and equipment to grow their businesses. This helps them develop their skills and create products without the high cost of operating their own kitchen.
Sharps Collection and Disposal Guidelines,"In New York State, hospitals and nursing homes, by law, must take discarded or unused sharps, needles and scalpels from patients."
Site Safety Supervision Requirements,Every construction site needs a person certified by the Department of Buildings on-site to supervise site safety.
Smoke Free Air Act - Information,The Smoke Free Air Act (SFAA) of 2002 helps keep New York City workers protected from the harmful effects of second-hand smoke. It makes almost all workplaces smoke-free. The New York State Clean Indoor Air Act (CIAA) of 2004 also limits smoking indoors.
State Pollutant Discharge Elimination System (SPDES),The State Pollutant Discharge Elimination System (SPDES) controls wastewater discharge. This program is from the New York State Department of Environmental Conservation (DEC).
Temporary Discharge of Groundwater into the City Sewer System,"If you are working on a construction project that will need to temporarily discharge groundwater to a sanitary, storm or combined sewer, lowering the groundwater table, you need to follow the Sewer Use Regulations in Title 15 of the Rules of the City of New York (RCNY) Chapter 19. This applies to all construction projects, no matter how big or small."
Tire Recycling Collection and Fee,Businesses that sell tires must collect a fee for tire recycling. The New York State (NYS) Department of Environmental Conservation (DEC) collects these fees.
Tow Truck Driver Examination,"In New York State, you need a special permit to drive tow trucks. The New York State (NYS) Department of Motor Vehicles (DMV) gives these permits. The type of permit depends on the size of the truck."
Truck Route Network,"Vehicles with two axles and six tires, or three or more axles, must follow the New York City Truck Route Network. This network is a series of roads that trucks must use to travel to their destination. Trucks should only leave the network at the intersection closest to an off-route destination."
Unemployment Insurance,Employers in New York State must pay taxes for unemployment insurance. This insurance gives money to workers who lose their jobs. The job loss must not be their fault. Not all workers can get this insurance.
Waste Removal and Recycling,"Every business in New York City must use a private carter to get rid of waste, organics and recyclables."
Wastewater Quality Control Application,"If your building project needs to temporarily discharge groundwater to a sanitary or combined sewer as a result of a construction project lowering the groundwater table, regardless of the size of the construction project, you must follow the Sewer Use Rules in Title 15 of the Rules of the City of New York (RCNY) Chapter 19."
Workers' Compensation Insurance,All businesses in New York State must have workers' compensation insurance. This rule includes part-time workers and family members who work for the business.
Zoning Information,Zoning regulations govern how space and land are used in New York City. They determine:
Zoning Requirements,"The NYC Zoning Resolution determines the allowable size and use of buildings, where they are located and the densities of the City's neighborhoods. The city has three main zoning areas:"
Project Informational Signs,"If a Department of Transportation (DOT) permitted construction project lasts three months or more, you must post informational signs at the worksite."
Required Posters and Signs for Restaurants,"City, State and federal rules say businesses must post certain signs. Use the NYC Checklist for Required Signs for Restaurants and Bars to find the signs you need."
Restaurant Wheelchair Friendly Decal,"Food service establishments that qualify can get a Wheelchair Friendly decal to post at the front of their business. To get the sticker, you must fill out a survey. The survey will ask if your place is wheelchair accessible."
Storefront Sign Requirements,"If your sign is not illuminated and is six square feet or less, you do not need a permit. If it is painted on a wall, you also do not need a permit. But, you must follow local zoning regulations for signs."
Banking Corporation Tax,The Banking Corporation Tax in New York City applies to federal S-corporations and their subsidiaries that do banking business in New York City. This tax also applies to S-corporations owned by a bank or its holding company and engaged in banking business.
Commercial Motor Vehicle Tax (CMVT),The Commercial Motor Vehicle Tax (CMVT) is an annual tax that owners and long-term lessees pay on commercial vehicles that operate in the City.
Commercial Rent Tax,"The Commercial Rent Tax is a tax for businesses in Manhattan, south of the center line of 96th Street. You must pay this tax if your rent is at least $250,000 each year."
Election to be Treated as a New York S Corporation,"Your business can register as an ""S corporation"" for New York State taxes, letting shareholders report corporate income on their own tax returns."
Empowerment Zone Section 179 Deduction,"Some businesses in Empowerment Zones (EZs) can deduct an extra $35,000 on top of the standard IRS Section 179 deduction. This deduction is for the cost of qualifying property."
Film Production Tax Credit,The Film Production Tax Credit gives back 25 percent of the money spent on making movies in New York State. There is no limit to how much you can get back.
Fuel Use Tax / Highway Use Tax,TEST New York State has taxes for fuel use and highway use.
General Corporation Tax (GCT),All S corporations and qualified S subsidiaries in New York City must pay the General Corporation Tax (GCT) if they are:
Hotel Room Occupancy Tax,"The Hotel Room Occupancy Tax is a tax you pay when you stay in a hotel. A ""hotel"" can be an apartment, hotel, motel, boardinghouse, bed-and-breakfast, bungalow or club. It doesn't matter whether meals are served. If you stay in a room in a hotel, you have to pay this tax."
Liberty Zone Sales and Use Tax Exemption,The Liberty Zone Sales and Use Tax Exemption assists businesses in neighborhoods affected by the September 11 attacks.
Lower Manhattan Commercial Rent Tax Reduction,"This benefit lowers the rent amount subject to the Commercial Rent Tax (CRT). Non-profit companies and businesses with yearly leases under $200,000 do not pay this tax, so they are not eligible for the CRT Special Reduction."
Lower Manhattan Sales and Use Tax Exemption,"Businesses in Lower Manhattan can get sales tax exemptions on some expenses. Lower Manhattan is the area south of Murray Street, between South and West Streets. The exemption is for improvements to commercial property."
Mortgage Recording Tax,"You pay a tax when you record a mortgage for property in New York City. The New York City Register's Office collects this tax for all boroughs except Staten Island. In Staten Island, the Richmond County Clerk collects the tax."
Motor Vehicle Use Tax,"When you register a passenger vehicle in New York State, you must pay a vehicle use tax. This rule is for both businesses and people."
New York City Payroll Tax,"People, trusts and estates must pay the New York City Personal Income Tax if they earn money in the City. The New York State Department of Taxation and Finance (DTF) collects this tax."
Real Estate Transfer Tax,This New York State tax applies to all transfers of real estate worth more than $500.
Real Property Capital Improvements and Repairs,"The New York State Department of Taxation and Finance manages sales tax on work done on real property. If the work is a capital improvement, it does not have sales tax. But installation, repair and maintenance work does have sales tax."
Real Property Income and Expense (RPIE),"If you own a property that makes money and has an actual assessed value of more than $40,000, you need to file a Real Property Income and Expense (RPIE) statement every year. Some properties do not have to do this by law."
Real Property Tax Information,"If you own a building for business, you must register with the Department of Finance. This helps you learn how to pay property taxes."
Real Property Transfer Tax,"You must pay the Real Property Transfer Tax (RPTT) when you sell, grant, assign, transfer or surrender real property in New York City. This includes selling or transferring at least 50 percent of ownership in a corporation, partnership, trust or other entity that owns or leases property. It also includes transfers of shares in cooperative housing."
"Retail Beer, Wine and Liquor Tax","Businesses in New York City that sell beer, wine or liquor must pay a special tax. These businesses need a license from the New York State Liquor Authority."
Sales Tax Exemption Certificate,Businesses in New York can get certificates to avoid paying sales tax on some items. The New York State Department of Taxation and Finance (DTF) gives out these certificates.
Sales Tax Exemption for Manufacturers,Manufacturers in New York City can avoid paying some sales taxes.
Sales Tax on Processed Food,Most food sold in New York State is not taxed. But there are some exceptions.
Sales Tax Vendor Registration (Certificate of Authority),"If you have a business that sells tangible personal property or services in New York State, you need a Certificate of Authority. This certificate lets you collect sales tax. The New York State Department of Taxation and Finance (DTF) gives out these certificates."
Section 179 Deduction,"The Section 179 Deduction is a tax benefit for businesses. The IRS manages this benefit. If your business buys or leases less than $2.5 million in equipment, you can qualify for this deduction."
Special Occupation Tax Registration,All tobacco-related businesses must file Form 5630.5t with the Alcohol and Tobacco Tax and Trade Bureau (TTB). This tax was once called the Special Occupation Tax. Alcohol-related businesses must also register with the TTB.
Tax Return Preparer/Facilitator Registration Certificate,Tax return preparers must register every year with the New York State Department of Taxation and Finance (DTF).
Unincorporated Business Tax (UBT),The Unincorporated Business Tax (UBT) is for some businesses in New York City.
Yonkers Resident Withholding Tax,People who live in Yonkers must pay the Yonkers Resident Withholding Tax. This tax is taken out of their paychecks.
Accreditation of Training Course for Refrigerating System Operating Engineer,"Schools, teachers or programs that offer courses to train or qualify individuals for a Certificate of Fitness for Refrigerating System Operating Engineer must be approved by the New York City Fire Department (FDNY)."
Animal Care and Handling Course,"If you own a pet shop or a business that sells, grooms or boards cats, dogs or other small animals, you need someone with a Certificate in Animal Care and Handling on duty when your business is open. This is required by the NYC Health Code."
